Id,SalePrice,Mo Sold,Yr Sold,Overall Qual,Overall Cond,Gr Liv Area,Garage Area,Garage Cars,Total Bsmt SF,1st Flr SF,Year Built,Year Remod/Add,Mas Vnr Area,Full Bath,Garage Yr Blt,Bedroom AbvGr,Mas Vnr Area,TotRms AbvGrd,Fireplaces,BsmtFin SF 1,BsmtFin SF 2,Bsmt Unf SF,Lot Frontage,Open Porch SF,Wood Deck SF,Fence,Pool Area,MS Zoning,Alley,Central Air,Low Qual Fin SF,Exter Qual,Exter Cond,Bsmt Qual,BsmtFin Type 1,BsmtFin Type 2,Heating QC,Kitchen Qual,Fireplace Qu,fine_neighbour,fine_garage_type,mv,garage_finish,zone1,zone2,Grvl,Pave,VinylSd1,VinylSd2,Pconc,reg_lot,np_bsmt_expo,sale_new,bsmtscore,garagescore
1044,85400,7,2008,6,5,987,264.0,1.0,483.0,483,1971,1971,232.0,1,1971.0,2,232.0,4,0,387.0,0.0,96.0,21.0,0,0,0,0,RM,0,0,0,3,3,3,4.0,0.5,3,3,0,0,0,1,0,0,1,0,0,0,0,0,1,1,0,1596.0,132.0
2752,183600,2,2006,7,5,1208,632.0,2.0,1208.0,1208,2005,2005,0.0,2,2005.0,2,0.0,6,0,393.0,0.0,815.0,64.0,58,105,0,0,RL,0,0,0,4,3,4,5.0,0.5,5,4,0,0,1,0,0,1,0,0,0,1,1,1,0,0,0,2372.5,474.0
807,131000,6,2009,5,7,2016,576.0,2.0,0.0,1288,1880,2007,0.0,1,1900.0,4,0.0,7,1,0.0,0.0,0.0,120.0,0,0,0,0,RL,0,0,0,4,3,0,0.0,0.0,5,3,3,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0.0,288.0
1177,200000,12,2008,8,5,1607,480.0,2.0,960.0,962,1999,2000,456.0,2,2000.0,3,456.0,7,0,813.0,0.0,147.0,24.0,0,169,0,0,FV,Pave,0,0,4,3,4,5.0,0.5,5,4,0,0,0,1,0,1,0,0,1,0,0,1,1,1,0,4138.5,240.0
1480,193000,6,2008,7,5,1361,610.0,2.0,1351.0,1361,2007,2007,0.0,2,2007.0,3,0.0,6,0,24.0,0.0,1327.0,74.0,50,0,0,0,RL,0,0,0,4,3,4,5.0,0.5,5,4,0,0,1,0,0,1,0,0,0,1,1,1,1,0,0,783.5,457.5
324,173500,3,2010,5,5,1430,624.0,2.0,1430.0,1430,2004,2005,0.0,2,2004.0,3,0.0,7,0,0.0,0.0,1430.0,93.0,0,0,0,0,RL,0,0,0,3,3,5,0.5,0.5,5,4,0,0,1,0,0,1,0,0,0,1,1,1,1,0,0,715.0,468.0
1311,98000,5,2008,5,5,1344,513.0,3.0,624.0,624,1916,1950,0.0,1,1916.0,4,0.0,7,0,0.0,0.0,624.0,34.0,0,0,0,0,RM,Grvl,1,0,3,3,3,0.5,0.5,2,3,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,312.0,256.5
770,139000,6,2009,5,6,1121,480.0,2.0,1121.0,1121,1963,1963,0.0,1,1963.0,3,0.0,5,0,651.0,0.0,470.0,80.0,80,0,1,0,RL,0,0,0,3,3,3,2.0,0.5,3,3,0,0,0,0,0,1,0,0,0,1,1,1,1,1,0,1537.0,240.0
2063,143500,4,2007,6,5,1285,528.0,2.0,660.0,1285,1977,1977,148.0,1,1977.0,3,148.0,7,1,0.0,0.0,660.0,71.0,0,138,1,0,RL,0,0,0,3,3,3,0.5,0.5,5,3,3,0,1,1,0,1,0,0,0,0,0,0,1,1,0,330.0,396.0
69,215200,6,2010,7,5,1547,614.0,2.0,756.0,764,2009,2009,0.0,2,2009.0,3,0.0,7,0,24.0,0.0,732.0,72.0,45,169,0,0,FV,0,0,0,3,3,4,5.0,0.5,5,4,0,0,1,0,0,1,0,0,0,1,1,1,1,0,0,486.0,307.0
2062,129000,5,2007,5,5,894,450.0,2.0,894.0,894,1968,1968,0.0,1,1968.0,3,0.0,5,1,492.0,0.0,402.0,109.0,0,0,0,0,RL,0,0,0,3,3,4,3.0,0.5,4,3,1,0,1,0,1,1,0,0,0,1,1,0,1,1,0,1677.0,450.0
351,278000,10,2009,8,5,1659,499.0,2.0,1501.0,1659,2000,2000,0.0,2,2000.0,2,0.0,5,1,1158.0,0.0,343.0,40.0,59,212,0,0,RL,0,0,0,4,3,4,5.0,0.5,5,5,5,1,1,0,1,1,0,0,0,1,0,1,0,1,0,5961.5,499.0
2393,344133,7,2006,8,5,2253,575.0,2.0,1209.0,1209,2005,2006,0.0,2,2005.0,3,0.0,8,1,0.0,0.0,1209.0,103.0,142,243,0,0,RL,0,0,0,4,3,5,0.5,0.5,5,5,4,1,1,0,1,1,0,0,0,1,0,1,0,0,1,604.5,575.0
12,185000,3,2010,6,7,1187,420.0,2.0,1168.0,1187,1992,2007,0.0,2,1992.0,3,0.0,6,0,935.0,0.0,233.0,0.0,21,483,1,0,RL,0,0,0,3,4,4,4.0,0.5,5,3,0,0,1,0,1,1,0,0,0,0,0,1,0,1,0,3856.5,420.0
2339,145000,1,2006,5,5,1056,572.0,2.0,1056.0,1056,1955,1955,0.0,1,1955.0,3,0.0,5,0,1056.0,0.0,0.0,100.0,0,264,0,0,RL,0,1,0,3,3,3,2.0,0.5,3,3,0,0,1,0,1,1,0,0,0,0,0,0,1,0,0,2112.0,572.0
624,187500,4,2009,6,6,1453,530.0,2.0,1453.0,1453,1961,1961,3.0,2,1961.0,3,3.0,6,1,1312.0,0.0,141.0,92.0,49,0,1,0,RL,0,0,0,3,3,3,2.0,0.5,5,3,3,0,1,1,0,1,0,0,0,0,0,0,0,1,0,2694.5,397.5
86,138500,4,2010,5,8,894,336.0,1.0,894.0,894,1965,2009,0.0,1,1973.0,3,0.0,5,1,553.0,117.0,224.0,65.0,144,416,1,0,RL,0,0,0,3,4,3,5.0,3.0,5,3,4,0,0,0,0,1,0,0,0,0,0,0,1,1,0,3228.0,168.0
1534,198000,7,2008,5,6,1938,240.0,1.0,942.0,1265,1937,1995,0.0,2,1937.0,4,0.0,7,1,606.0,0.0,336.0,0.0,40,0,0,0,RL,Grvl,0,0,3,3,3,3.0,0.5,5,4,4,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1986.0,120.0
2243,119600,6,2007,5,6,1991,0.0,0.0,957.0,1034,1895,2006,0.0,2,0.0,4,0.0,9,0,0.0,0.0,957.0,75.0,0,0,0,0,C (all),0,1,0,3,4,3,0.5,0.5,2,3,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,478.5,0.0
1957,122900,7,2007,5,7,924,576.0,2.0,672.0,672,1949,2006,0.0,1,2003.0,3,0.0,6,1,0.0,0.0,672.0,60.0,0,0,1,0,RL,0,0,0,3,4,3,0.5,0.5,5,3,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,336.0,288.0
380,278000,7,2009,8,5,2524,542.0,2.0,2524.0,2524,1981,1981,0.0,2,1981.0,4,0.0,9,1,1104.0,0.0,1420.0,80.0,120,474,1,0,RL,0,0,0,4,3,4,4.0,0.5,3,4,4,0,1,0,1,1,0,0,0,1,1,1,1,1,0,5126.0,542.0
2860,230000,6,2006,8,7,1517,400.0,2.0,792.0,792,1929,1950,0.0,1,1931.0,3,0.0,7,2,0.0,0.0,792.0,0.0,0,0,0,0,RL,0,0,0,3,3,4,0.5,0.5,2,4,4,0,0,0,0,1,0,0,0,1,0,1,0,1,0,396.0,200.0
2517,270000,4,2006,8,5,1494,481.0,2.0,1494.0,1494,1995,1996,0.0,1,1995.0,2,0.0,6,1,437.0,1057.0,0.0,30.0,30,0,0,0,RL,0,0,0,4,4,4,1.0,5.0,5,5,4,0,1,0,1,1,0,0,0,1,1,1,0,0,0,5722.0,481.0
1933,125000,4,2007,6,6,948,410.0,2.0,948.0,948,1952,1952,0.0,1,1952.0,2,0.0,5,0,441.0,0.0,507.0,60.0,48,0,0,0,RL,0,0,0,3,3,3,4.0,0.5,3,3,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,2017.5,205.0
820,297000,9,2009,8,5,1718,826.0,3.0,1705.0,1718,2007,2008,336.0,2,2007.0,3,336.0,7,1,1288.0,0.0,417.0,79.0,44,208,0,0,RL,0,0,0,4,3,5,5.0,0.5,5,4,4,0,1,1,0,1,0,0,0,1,1,1,1,0,0,6648.5,619.5
675,113500,4,2009,6,6,1142,384.0,1.0,160.0,1142,1958,1958,82.0,1,1958.0,2,82.0,5,1,0.0,0.0,160.0,80.0,28,0,0,0,RL,0,0,0,3,3,4,0.5,0.5,2,3,4,0,0,1,0,1,0,0,0,0,0,0,0,0,0,80.0,288.0
2910,127000,7,2006,5,6,1475,336.0,1.0,757.0,925,1977,1977,0.0,2,1977.0,4,0.0,6,1,548.0,173.0,36.0,41.0,26,104,0,0,RM,0,0,0,3,3,3,4.0,2.0,5,3,3,0,1,0,0,0,1,0,0,1,0,1,1,1,0,2556.0,252.0
21,190000,1,2010,6,6,1844,546.0,2.0,1844.0,1844,1977,1977,480.0,2,1977.0,3,480.0,7,1,705.0,0.0,1139.0,105.0,122,0,1,0,RL,0,0,0,3,3,4,3.0,0.5,5,3,3,0,1,1,0,1,0,0,0,0,0,0,0,1,0,2684.5,409.5
1873,175500,9,2007,7,6,1242,528.0,2.0,1242.0,1242,1973,1973,320.0,1,1973.0,3,320.0,6,1,916.0,0.0,326.0,80.0,0,0,0,0,RL,0,0,0,3,3,3,4.0,0.5,2,3,3,0,1,1,0,1,0,0,0,0,0,0,1,1,0,3827.0,264.0
2125,146000,7,2007,5,7,990,384.0,1.0,990.0,990,1994,1994,0.0,1,1995.0,3,0.0,5,0,420.0,0.0,570.0,60.0,0,256,0,0,RL,0,0,0,3,4,4,5.0,0.5,5,3,0,0,0,0,0,1,0,0,0,1,1,1,0,1,0,2385.0,192.0
1489,147500,6,2008,5,6,1256,276.0,1.0,1256.0,1256,1965,1965,0.0,1,1965.0,3,0.0,6,0,830.0,290.0,136.0,75.0,68,736,0,0,RL,0,0,0,4,3,3,3.0,1.0,4,3,0,0,1,0,1,1,0,0,0,0,0,0,1,1,0,2848.0,276.0
2383,465000,9,2006,10,5,2076,850.0,3.0,2076.0,2076,2006,2006,0.0,2,2006.0,2,0.0,7,1,1386.0,0.0,690.0,107.0,229,216,0,0,RL,0,0,0,5,3,5,5.0,0.5,5,5,4,1,1,0,1,1,0,0,0,1,1,1,1,0,1,7275.0,850.0
983,165500,7,2009,5,6,1110,602.0,2.0,1097.0,1110,1978,1978,104.0,1,1978.0,1,104.0,4,1,1097.0,0.0,0.0,0.0,30,303,0,0,RL,0,0,0,3,4,4,5.0,0.5,5,4,3,0,1,1,1,1,0,0,0,0,0,1,0,0,0,5485.0,602.0
1325,131500,11,2008,5,5,1795,352.0,1.0,1050.0,1050,1954,1954,335.0,2,1954.0,4,335.0,7,0,0.0,0.0,1050.0,81.0,0,0,0,0,RM,Grvl,1,0,3,3,3,0.5,0.5,5,3,0,0,1,1,0,0,1,1,0,0,0,0,1,1,0,525.0,176.0
1378,129500,2,2008,5,5,1040,384.0,1.0,1040.0,1040,1965,1965,0.0,1,1965.0,3,0.0,5,0,906.0,0.0,134.0,70.0,0,0,0,0,RL,0,0,0,3,3,3,2.0,0.5,5,3,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,1879.0,192.0
1537,257076,6,2008,8,6,1873,786.0,2.0,608.0,983,1935,1950,40.0,1,1935.0,4,40.0,9,2,210.0,0.0,398.0,100.0,0,0,0,0,RL,0,0,0,3,3,3,1.0,0.5,3,3,4,0,0,1,1,1,0,0,0,1,0,1,0,1,0,409.0,786.0
905,117000,7,2009,5,5,1604,660.0,2.0,984.0,984,1941,1960,0.0,2,1977.0,3,0.0,6,0,408.0,420.0,156.0,60.0,68,0,0,0,RL,Grvl,0,0,3,3,3,1.0,3.0,5,3,0,0,0,0,0,1,0,1,0,0,0,0,1,1,0,1746.0,330.0
1532,149000,2,2008,7,6,1502,270.0,1.0,776.0,851,1931,2000,0.0,1,1931.0,3,0.0,6,1,0.0,0.0,776.0,60.0,0,0,1,0,RL,0,0,0,3,2,4,0.5,0.5,3,3,4,0,1,0,0,1,0,0,0,0,0,0,1,1,0,388.0,202.5
132,128000,2,2010,5,5,1063,280.0,1.0,1056.0,1063,1954,1954,110.0,1,1954.0,3,110.0,6,0,354.0,290.0,412.0,80.0,0,0,1,0,RL,0,0,0,3,3,3,2.0,1.0,3,3,0,0,1,1,0,1,0,0,0,0,0,0,1,1,0,1204.0,210.0
1078,155000,10,2008,7,5,1626,474.0,2.0,764.0,764,2003,2004,106.0,2,2003.0,2,106.0,6,0,0.0,0.0,764.0,36.0,27,0,0,0,RL,0,0,0,4,3,4,0.5,0.5,5,4,0,1,1,1,0,1,0,0,0,1,0,1,1,1,0,382.0,355.5
2511,166000,6,2006,6,5,1524,440.0,2.0,756.0,768,2000,2000,513.0,2,2000.0,2,513.0,4,0,353.0,0.0,403.0,0.0,32,0,0,0,FV,0,0,0,4,3,4,5.0,0.5,5,4,0,0,0,1,0,1,0,0,0,0,0,1,1,1,0,1966.5,220.0
912,135000,12,2009,4,3,1981,576.0,2.0,1122.0,1328,1928,1950,0.0,2,1981.0,4,0.0,7,2,622.0,0.0,500.0,65.0,44,431,1,0,RL,0,0,0,3,3,3,3.0,0.5,3,4,3,0,0,0,0,1,0,0,0,0,0,0,1,1,0,2116.0,288.0
2351,250000,7,2006,7,5,2784,564.0,2.0,1392.0,1392,1978,1978,184.0,3,1978.0,5,184.0,12,2,790.0,469.0,133.0,80.0,112,0,1,519,RL,0,0,0,3,3,4,3.0,1.0,3,4,3,0,1,1,0,1,0,0,0,0,0,0,0,1,0,2905.5,423.0
330,76000,3,2010,4,7,1092,0.0,0.0,546.0,546,1970,1970,0.0,1,0.0,3,0.0,5,0,176.0,0.0,370.0,21.0,26,200,0,0,RM,0,0,0,3,3,3,5.0,0.5,5,3,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0,1065.0,0.0
2586,155000,6,2006,6,6,1575,400.0,2.0,216.0,1575,1951,1951,522.0,1,1951.0,2,522.0,5,1,0.0,0.0,216.0,75.0,0,0,0,0,RL,0,0,0,3,3,3,0.5,0.5,3,4,4,0,1,1,0,1,0,0,0,0,0,0,1,1,0,108.0,200.0
224,158000,3,2010,6,7,1352,299.0,1.0,663.0,663,1969,1969,143.0,1,1969.0,4,143.0,7,0,371.0,0.0,292.0,80.0,36,379,1,0,RL,0,0,0,3,3,3,4.0,0.5,3,3,0,0,1,1,1,1,0,0,0,0,0,0,1,1,0,1630.0,299.0
98,149500,2,2010,7,5,1200,480.0,2.0,600.0,600,2004,2005,0.0,2,2004.0,2,0.0,4,0,368.0,42.0,190.0,24.0,172,0,0,0,FV,Pave,0,0,4,3,4,5.0,4.0,5,4,0,0,0,0,0,1,0,0,1,0,0,1,1,1,0,2103.0,360.0
2565,121000,3,2006,5,6,936,240.0,1.0,936.0,936,1954,1975,0.0,1,1954.0,2,0.0,5,0,486.0,0.0,450.0,82.0,0,0,1,0,RL,0,0,0,3,4,3,3.0,0.5,3,3,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0,1683.0,120.0
1934,136000,6,2007,6,7,1040,293.0,1.0,1040.0,1040,1953,1953,0.0,1,1953.0,3,0.0,6,0,85.0,955.0,0.0,68.0,0,0,1,0,RL,0,0,0,3,3,3,2.0,4.0,3,3,0,0,1,0,1,1,0,0,0,0,0,0,1,1,0,3990.0,293.0
997,173000,11,2008,6,5,1636,386.0,2.0,916.0,916,1996,1996,0.0,2,1996.0,3,0.0,7,1,138.0,0.0,778.0,0.0,84,168,0,0,RL,0,0,0,3,3,4,2.0,0.5,4,3,3,0,1,0,1,1,0,0,0,0,0,1,0,1,0,665.0,386.0
64,290000,4,2010,8,7,2270,671.0,3.0,1152.0,1164,1999,2007,348.0,2,1999.0,4,348.0,9,1,524.0,0.0,628.0,92.0,57,132,0,0,RL,0,0,0,4,3,4,5.0,0.5,5,4,4,1,1,1,1,1,0,0,0,1,1,1,0,1,0,2934.0,671.0
1799,303477,8,2007,8,5,2610,550.0,2.0,1184.0,1184,2007,2007,0.0,2,2007.0,4,0.0,11,1,64.0,0.0,1120.0,75.0,364,208,0,0,FV,0,0,0,4,3,4,5.0,0.5,5,5,4,0,1,0,1,1,0,0,0,1,0,1,1,0,1,880.0,550.0
230,270000,4,2010,7,7,1483,690.0,2.0,1420.0,1483,1977,2001,0.0,1,1977.0,1,0.0,4,2,1092.0,0.0,328.0,0.0,0,496,0,0,RL,0,0,0,4,4,4,4.0,0.5,4,3,3,0,1,0,0,1,0,0,0,0,0,0,0,0,0,4532.0,517.5
1295,122250,6,2008,5,5,1740,225.0,1.0,936.0,960,1920,1950,0.0,1,1920.0,2,0.0,6,1,360.0,0.0,576.0,81.0,0,0,0,0,RM,0,1,0,2,2,3,2.0,0.5,4,5,4,0,0,0,0,0,1,0,0,0,0,0,1,1,0,1008.0,112.5
638,153000,7,2009,5,5,1382,350.0,1.0,1382.0,1382,1955,1955,0.0,1,1955.0,3,0.0,6,0,172.0,483.0,727.0,70.0,0,280,1,0,RL,0,0,0,3,3,3,2.0,1.0,4,4,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0,1190.5,175.0
2278,147000,12,2007,5,5,1120,0.0,0.0,1120.0,1120,2007,2007,0.0,1,0.0,3,0.0,6,0,206.0,0.0,914.0,70.0,30,0,0,0,RL,0,0,0,3,3,4,4.0,0.5,5,3,0,0,0,0,0,1,0,0,0,1,1,1,1,1,1,1281.0,0.0
2202,148500,6,2007,7,8,1098,216.0,1.0,531.0,567,1930,1995,0.0,1,1930.0,2,0.0,5,1,246.0,0.0,285.0,63.0,0,0,1,0,RL,0,0,0,3,3,4,5.0,0.5,3,3,4,0,0,0,0,1,0,0,0,0,0,0,1,1,0,1372.5,108.0
2833,130000,4,2006,7,5,1708,380.0,2.0,976.0,976,2004,2004,117.0,2,2004.0,3,117.0,7,0,0.0,0.0,976.0,32.0,40,0,0,0,RM,0,0,0,4,3,4,0.5,0.5,5,4,0,0,0,1,0,0,1,0,0,1,1,1,1,1,0,488.0,190.0
1707,372000,6,2007,9,5,1802,843.0,3.0,1802.0,1802,2006,2006,510.0,2,2006.0,3,510.0,7,1,0.0,0.0,1802.0,94.0,105,158,0,0,RL,0,0,0,5,3,5,0.5,0.5,5,5,4,1,1,1,1,1,0,0,0,0,0,1,0,0,0,901.0,843.0
2428,213490,4,2006,7,5,1506,440.0,2.0,1362.0,1506,2005,2005,145.0,2,2005.0,2,145.0,6,1,16.0,0.0,1346.0,43.0,20,142,0,0,RL,0,0,0,4,3,4,5.0,0.5,5,4,4,0,1,1,1,1,0,0,0,1,1,1,1,0,0,753.0,440.0
242,308030,1,2010,7,5,1508,572.0,2.0,1508.0,1508,2009,2010,96.0,1,2009.0,1,96.0,5,2,1346.0,0.0,162.0,44.0,0,0,0,0,RL,0,0,0,4,3,4,5.0,0.5,5,4,3,0,1,1,0,1,0,0,0,1,1,1,0,0,0,6811.0,429.0
1564,300000,9,2008,7,5,2032,786.0,3.0,1840.0,2032,1996,1997,668.0,3,1996.0,3,668.0,7,0,700.0,0.0,1140.0,0.0,46,0,0,0,RL,0,0,0,4,3,5,5.0,0.5,5,4,0,0,1,1,1,1,0,0,0,0,0,1,0,0,0,4070.0,786.0
2613,159500,7,2006,6,6,1194,539.0,2.0,655.0,1194,1959,1959,0.0,1,1954.0,3,0.0,6,1,655.0,0.0,0.0,79.0,0,0,0,0,RL,0,0,0,3,3,3,4.0,0.5,5,3,2,0,1,0,1,1,0,0,0,1,1,0,1,0,0,2620.0,539.0
2832,137500,4,2006,7,5,1709,380.0,2.0,970.0,970,2004,2004,50.0,2,2004.0,3,50.0,7,0,0.0,0.0,970.0,24.0,40,0,0,0,RM,0,0,0,4,3,4,0.5,0.5,5,4,0,0,0,1,0,0,1,0,0,1,1,1,1,1,0,485.0,190.0
2459,232000,4,2006,7,5,1616,834.0,3.0,1616.0,1616,2005,2005,228.0,2,2005.0,3,228.0,7,0,0.0,0.0,1616.0,73.0,59,208,0,0,RL,0,0,0,4,3,4,0.5,0.5,5,4,0,0,1,1,0,1,0,0,0,1,1,1,1,0,0,808.0,625.5
1360,93850,7,2008,6,6,768,440.0,2.0,768.0,768,1930,1950,0.0,1,1930.0,1,0.0,4,0,0.0,0.0,768.0,0.0,0,0,0,0,RM,0,0,0,4,4,3,0.5,0.5,3,3,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,384.0,220.0
2723,105000,4,2006,5,5,872,322.0,1.0,872.0,872,1924,1950,65.0,1,1924.0,2,65.0,5,1,0.0,0.0,872.0,0.0,0,0,0,0,RL,0,1,0,3,3,3,0.5,0.5,2,2,4,0,0,1,0,1,0,0,0,1,0,0,1,1,0,436.0,161.0
1350,68500,5,2008,4,6,520,240.0,1.0,520.0,520,1927,1950,0.0,1,1920.0,1,0.0,4,0,0.0,0.0,520.0,60.0,0,49,0,0,RM,0,1,0,3,3,3,0.5,0.5,2,2,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,260.0,120.0
136,154300,1,2010,5,5,2274,480.0,2.0,1105.0,1105,1960,1960,361.0,2,1960.0,5,361.0,12,0,443.0,0.0,662.0,80.0,0,0,0,0,RL,0,0,0,3,3,3,2.0,0.5,3,3,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0,1217.0,240.0
2235,129850,9,2007,5,7,1601,0.0,0.0,936.0,936,1925,2003,0.0,2,0.0,3,0.0,6,0,0.0,0.0,936.0,50.0,0,0,0,0,RM,0,0,0,4,4,3,0.5,0.5,5,3,0,0,0,0,0,0,1,0,0,1,1,0,1,1,0,468.0,0.0
1993,114000,6,2007,5,7,1232,480.0,2.0,616.0,616,1910,1950,0.0,1,1920.0,3,0.0,6,0,168.0,0.0,448.0,35.0,0,280,0,0,RM,Grvl,0,0,3,3,3,3.0,0.5,5,3,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,728.0,240.0
367,501837,7,2009,9,5,2234,1166.0,3.0,2216.0,2234,2008,2009,748.0,2,2009.0,1,748.0,9,1,1904.0,0.0,312.0,63.0,60,0,0,0,RL,0,0,0,5,3,5,5.0,0.5,5,5,4,1,1,1,1,1,0,0,0,1,1,1,0,1,1,9676.0,1166.0
1309,153900,6,2008,5,8,1416,720.0,3.0,876.0,876,1915,1950,0.0,1,1949.0,4,0.0,7,1,0.0,0.0,876.0,100.0,0,418,0,0,RM,Grvl,0,0,3,3,3,0.5,0.5,4,3,4,0,0,0,0,0,1,1,0,0,0,0,0,0,0,438.0,360.0
402,130000,7,2009,4,7,864,576.0,2.0,864.0,864,1971,2006,0.0,1,1986.0,3,0.0,5,0,240.0,0.0,624.0,60.0,0,200,1,0,RL,0,0,0,3,4,3,4.0,0.5,4,3,0,0,0,0,0,1,0,0,0,1,1,0,1,1,0,1272.0,288.0
1592,160500,4,2008,6,5,1189,392.0,2.0,1189.0,1189,1997,1997,197.0,2,1997.0,2,197.0,4,0,864.0,0.0,325.0,32.0,122,0,0,0,RM,0,0,0,3,3,5,5.0,0.5,5,3,0,0,1,1,0,0,1,0,0,1,1,1,1,1,0,4482.5,294.0
2409,310090,6,2006,9,5,1666,575.0,2.0,1666.0,1666,2006,2006,572.0,2,2006.0,2,572.0,6,1,415.0,0.0,1251.0,48.0,75,228,0,0,RL,0,0,0,5,3,5,5.0,0.5,5,4,4,1,1,1,0,1,0,0,0,0,0,1,1,1,1,2700.5,431.25
539,184900,8,2009,7,5,1200,555.0,2.0,1176.0,1200,2003,2003,0.0,2,2003.0,2,0.0,5,0,833.0,0.0,343.0,67.0,41,0,0,0,RL,0,0,0,4,3,4,5.0,0.5,5,4,0,0,1,0,0,1,0,0,0,1,1,1,1,1,0,4336.5,416.25
1940,132000,6,2007,5,7,928,252.0,1.0,928.0,928,1956,2000,0.0,1,1956.0,2,0.0,4,0,377.0,0.0,551.0,70.0,0,261,0,0,RL,0,0,0,3,3,4,2.0,0.5,3,3,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0,1029.5,126.0
